200 159.662797451	146.018662125	175.389319718
199.8 159.591997957	145.94416111	175.333623588
199.6 159.52116056	145.869733137	175.277841914
199.4 159.450280255	145.795283431	175.221878171
199.2 159.379210291	145.720796812	175.165767193
199 159.307838961	145.646244943	175.109675169
198.8 159.23646439	145.571431386	175.053308082
198.6 159.165009093	145.496414369	174.996873824
198.4 159.093474889	145.421568954	174.940805414
198.2 159.021885115	145.346681296	174.884655139
198 158.950569242	145.271677434	174.828404233
197.8 158.879121512	145.196506059	174.771948943
197.6 158.807379741	145.1211963	174.715487725
197.4 158.73550362	145.045840411	174.658850652
197.2 158.663518143	144.970528164	174.602002275
197 158.591313601	144.895180173	174.545041621
196.8 158.519217491	144.819754125	174.488156565
196.6 158.447244195	144.744190574	174.431148359
196.4 158.375222936	144.668532199	174.373895457
196.2 158.303041375	144.592788744	174.316427532
196 158.230660319	144.516937017	174.258959606
195.8 158.158074379	144.441103975	174.201266399
195.6 158.085242284	144.365246153	174.143420654
195.4 158.012283304	144.28936193	174.085390252
195.2 157.939592791	144.213427741	174.02722948
195 157.866927475	144.137325555	173.969316466
194.8 157.794053012	144.060848266	173.911526647
194.6 157.721014112	143.984337036	173.853713644
194.4 157.647878611	143.908130082	173.795776847
194.2 157.574615038	143.831897571	173.737687034
194 157.501092613	143.755623057	173.679486364
193.8 157.427779199	143.679226986	173.621243733
193.6 157.354376891	143.602546072	173.562968576
193.4 157.280845061	143.52568267	173.504468006
193.2 157.207167477	143.448923412	173.445655966
193 157.133348316	143.372243717	173.386813328
192.8 157.059654326	143.295535341	173.327922973
192.6 156.98564037	143.218667972	173.268859321
192.4 156.911748807	143.141735518	173.209539586
192.2 156.837793499	143.064678934	173.150017887
192 156.763718337	142.987343399	173.090485245
191.8 156.689499515	142.910375845	173.030898672
191.6 156.615138895	142.833309898	172.971461849
191.4 156.540692607	142.7561589	172.91219765
191.2 156.466234155	142.678911436	172.852837187
191 156.391660817	142.601531327	172.793367833
190.8 156.317106892	142.523857939	172.733733529
190.6 156.242376822	142.446181957	172.674074638
190.4 156.167510623	142.368508308	172.614164424
190.2 156.092533153	142.290803439	172.55394387
190 156.017454118	142.213057965	172.493514711
189.8 155.942738905	142.135217494	172.433340984
189.6 155.867727646	142.057279962	172.373051784
189.4 155.792575034	141.979407255	172.312538117
189.2 155.717337709	141.901705048	172.251825857
189 155.641900927	141.823675975	172.191075742
