LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,AGE ESTIMATE (Ma),AGE ESTIMATE UNCERTAINTY (Ma),NUMERICAL (0) OR LABEL (1) FLAG
-70.0,-70.0,68.5,68.5,113.5,3.5,0.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-78.5475,-78.5475,164.5459,164.5459,12.805,10.225000000000001,1.0
-78.5632,-78.5632,164.39,164.39,12.805,10.225000000000001,1.0
-78.5479,-78.5479,164.5433,164.5433,12.805,10.225000000000001,1.0
-78.5479,-78.5479,164.5362,164.5362,12.805,10.225000000000001,1.0
-78.5491,-78.5491,164.539,164.539,12.805,10.225000000000001,1.0
-73.04,-73.04,167.47,167.47,2.6723500000000002,2.66065,1.0
-73.02,-73.02,167.63,167.63,2.6723500000000002,2.66065,1.0
-72.872,-72.872,168.97,168.97,2.6723500000000002,2.66065,1.0
-72.667,-72.667,169.633,169.633,2.6723500000000002,2.66065,1.0
-72.023,-72.023,170.16,170.16,2.6723500000000002,2.66065,1.0
-71.302,-71.302,170.21,170.21,2.6723500000000002,2.66065,1.0
-71.703,-71.703,170.298,170.298,2.6723500000000002,2.66065,1.0
-71.842,-71.842,170.976,170.976,2.6723500000000002,2.66065,1.0
-71.95,-71.95,171.083,171.083,2.6723500000000002,2.66065,1.0
-71.95,-71.95,171.083,171.083,2.6723500000000002,2.66065,1.0
-71.95,-71.95,171.083,171.083,2.6723500000000002,2.66065,1.0
-71.95,-71.95,171.083,171.083,2.6723500000000002,2.66065,1.0
-71.95,-71.95,171.083,171.083,2.6723500000000002,2.66065,1.0
-71.885,-71.885,171.167,171.167,2.6723500000000002,2.66065,1.0
-71.9,-71.9,171.167,171.167,2.6723500000000002,2.66065,1.0
-69.861,-69.861,171.844,171.844,2.6723500000000002,2.66065,1.0
-70.07,-70.07,172.316,172.316,2.6723500000000002,2.66065,1.0
-70.07,-70.07,172.316,172.316,2.6723500000000002,2.66065,1.0
-71.628,-71.628,172.523,172.523,2.6723500000000002,2.66065,1.0
-71.631,-71.631,172.634,172.634,2.6723500000000002,2.66065,1.0
-72.7010053676,-72.7010053676,165.557141,165.557141,1.29,1.29,1.0
-72.6409416553,-72.6409416553,165.497806,165.497806,1.29,1.29,1.0
-72.651733,-72.651733,165.499221,165.499221,1.29,1.29,1.0
-72.6523298118,-72.6523298118,165.498838,165.498838,1.29,1.29,1.0
-72.652211,-72.652211,165.498334,165.498334,1.29,1.29,1.0
-72.6412114687,-72.6412114687,165.501434,165.501434,1.29,1.29,1.0
-72.651714,-72.651714,165.499241,165.499241,1.29,1.29,1.0
-72.7010053676,-72.7010053676,165.557141,165.557141,1.29,1.29,1.0
-72.6412114687,-72.6412114687,165.501434,165.501434,1.29,1.29,1.0
-72.745404,-72.745404,165.496504,165.496504,1.29,1.29,1.0
-72.73407,-72.73407,165.44599,165.44599,1.29,1.29,1.0
-72.743471,-72.743471,165.482029,165.482029,1.29,1.29,1.0
-72.708186,-72.708186,165.56885,165.56885,1.29,1.29,1.0
-72.745796,-72.745796,165.496157,165.496157,1.29,1.29,1.0
-72.7447765879,-72.7447765879,165.497327,165.497327,1.29,1.29,1.0
-72.744271,-72.744271,165.49506,165.49506,1.29,1.29,1.0
-72.7450395282,-72.7450395282,165.497527,165.497527,1.29,1.29,1.0
-72.690222,-72.690222,165.562379,165.562379,1.29,1.29,1.0
-72.744896,-72.744896,165.497422,165.497422,1.29,1.29,1.0
-72.743537,-72.743537,165.486567,165.486567,1.29,1.29,1.0
-72.748045,-72.748045,165.512892,165.512892,1.29,1.29,1.0
-72.73407,-72.73407,165.44599,165.44599,1.29,1.29,1.0
-72.7565894555,-72.7565894555,165.511175,165.511175,1.29,1.29,1.0
-72.745404,-72.745404,165.496504,165.496504,1.29,1.29,1.0
-72.735199,-72.735199,165.428095,165.428095,1.29,1.29,1.0
-72.735199,-72.735199,165.428095,165.428095,1.29,1.29,1.0
-72.758589,-72.758589,165.452843,165.452843,1.29,1.29,1.0
-72.756338,-72.756338,165.512945,165.512945,1.29,1.29,1.0
-72.6408967283,-72.6408967283,165.498127,165.498127,1.29,1.29,1.0
-72.651794,-72.651794,165.499647,165.499647,1.29,1.29,1.0
-72.652055556,-72.652055556,165.499465,165.499465,1.29,1.29,1.0
-72.690222,-72.690222,165.562379,165.562379,1.29,1.29,1.0
