Author,Sample,Larger_Region,Region,Province,TAS_Description,Alkalinity,Age,Uncertainty,Method,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
Aviado_2015,NV-3I,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.9333,171.1666,45.95,2.44,16.99,10.02,7.81,3.51,0.22,1.85,5.31,1.21,,,,,,108,18,,411,264,95,,42,987,39,420,109,,,498,84,144,17.4,68,12.9,3.7,13,1.7,7.4,1.2,3.4,,3.3,0.5,8.6,8.3,,3.3,11.2,2.3,0.70212,0.51295,20.228,15.659,39.798
Aviado_2015,12.19-01-7,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,43.92,3.45,14.73,10.48,10.61,7.86,0.22,1.27,3.66,0.74,,,,,,248,237,,85,30,92,,28,1052,31,313,81,,,460,54,110,13.2,52,10.3,3.4,9,1.3,6.9,1.3,3.2,,2.4,0.4,7,5.4,,2.7,5.9,1.8,,,,,
Aviado_2015,12-19-01-5,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,42.45,3.98,14.4,11.42,10.32,7.44,0.22,1.39,3.14,0.78,,,,,,252,174,,56,21,94,,24,1255,28,272,85,,,584,53,108,12.8,50,9.7,3.3,8,1.2,6.3,1.1,2.8,,2.2,0.3,6.2,5.4,,3.1,5.6,1.7,,,,,
Aviado_2015,12-10-01-5,Australiasia_Antarctica,Antarctica,Ross_Island,Trachyte,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,64.23,0.16,16.74,3.33,0.92,0.04,0.15,5.19,7.04,0.02,,,,,,1,2,,0,2,167,,301,6,56,985,318,,,14,207,337,31.1,91,13.6,0.4,10,1.7,10.3,2.1,6.1,,6.4,1,24.3,23.2,,25.3,58.8,14.2,,,,,
Aviado_2015,12-19-01-3,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,43.8,3.18,14.69,10.67,9.95,8.53,0.21,1.51,3.43,0.93,,,,,,231,364,,134,40,91,,31,1094,30,231,71,,,513,53,107,12.9,50,9.8,3.4,8,1.2,6.6,1.2,3,,2.3,0.3,5.3,4.4,,2.4,5,1.4,,,,,
Aviado_2015,12-10-01-1,Australiasia_Antarctica,Antarctica,Ross_Island,Trachyandesite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,54.97,1.39,17.42,7.72,4.32,1.78,0.23,3.45,5.96,0.56,,,,,,20,2,,0,8,124,,80,654,4,457,130,,,1130,83,155,17.3,62,10.9,3.6,9,1.3,7.5,1.4,3.7,,3.2,0.5,9.8,7.8,,7.7,12,3,,,,,
Aviado_2015,12-10-01-2,Australiasia_Antarctica,Antarctica,Ross_Island,Basaltic Trachyandesite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,51.56,2.22,17.08,8.67,6.02,3.39,0.19,2.79,4.68,0.76,,,,,,116,22,,10,23,103,,76,774,34,381,103,,,806,80,149,16.7,60,10.9,3.3,9,1.3,7.2,1.3,3.5,,2.9,0.5,8.4,6.8,,8.1,11.3,2.8,,,,,
Aviado_2015,NV-5B,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,3,3,Stratigraphic,-71.3178,170.2651,40.48,4.05,15.43,12.43,10.01,5.24,0.21,1.75,4.05,1.12,,,,,,205,11,,547,272,97,,31,996,39,278,90,,,541,60,106,13.6,58,12.5,3.7,12,1.6,7.6,1.2,3.3,,3.1,0.4,6.3,6.7,,1.7,6.7,1.3,,,,,
Aviado_2015,AW82-284,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.3178,170.2651,43.85,3.12,16.4,10.46,9.13,4.21,0.2,2.45,4.58,1.03,,,,,,148,53,,287,177,103,,66,1351,42,440,106,,,774,88,147,18.1,74,14.9,4.4,14,1.8,8.4,1.4,3.6,,3.4,0.5,9.8,7.8,,2.1,8.5,1.2,0.70293,0.51295,20.01,15.622,39.435
Aviado_2015,NV17A,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.3178,170.2651,43.21,2.97,15.16,10.48,9.93,5.31,0.21,1.9,4.28,0.76,,,,,,162,127,,330,219,94,,42,1236,35,376,83,,,627,64,111,14.1,58,12,3.7,11,1.5,6.9,1.1,3,,2.8,0.4,8.1,6,,1.6,6.5,1.2,0.70296,0.51292,19.995,15.628,39.425
Aviado_2015,BFT-1,Australiasia_Antarctica,Antarctica,Ross_Island,Tephriphonolite,Alkaline,6.76,0.05,Ar-Ar,-71.3178,170.2651,50.95,1.53,19.57,7,5.15,1.28,0.2,3.75,7.25,0.63,,,,,,32,7,,,,,,129,1316,40,637,174,,,1066,117,196,20,73,13,4.1,12,1.5,7.4,1.3,3.5,,,0.5,11.9,13.2,,4.4,15.3,4,0.703,0.51293,19.981,15.626,39.403
Aviado_2015,BFT-2,Australiasia_Antarctica,Antarctica,Ross_Island,Phonotephrite,Alkaline,6.73,0.03,Ar-Ar,-71.3178,170.2651,49.74,1.9,18.91,7.84,6.01,1.95,0.22,3.47,6.18,0.73,,,,,,46,7,,,,,,112,1378,44,633,164,,,1034,116,199,21.1,80,14.7,4.5,14,1.7,8.3,1.4,3.9,,,0.5,12.3,13.2,,3.9,14.6,3.8,0.70303,0.51295,19.996,15.631,39.434
Aviado_2015,BFT-5,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.3178,170.2651,43.27,3.23,12.52,12.17,9.2,10.77,0.2,1.72,3.47,1.28,,,,,,143,429,,,,,,42,939,37,440,100,,,528,82,151,17.3,71,14.1,4.2,13,1.5,7.4,1.2,3,,,0.4,10,7.6,,2.2,9.2,2.2,,,,,
Aviado_2015,NV-16B,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,3,3,Stratigraphic,-76.1706,168.3791,41.84,2.02,12.62,11.06,9.18,8.76,0.27,2.11,5.89,0.85,,,,,,152,288,,,,,,50,692,32,230,75,,,471,58,97,10.3,40,8,2.5,8,1,5.7,1,2.8,,,0.4,5.3,5.9,,2.4,9.8,1.7,,,,,
Aviado_2015,04ANT1-6,Australiasia_Antarctica,Antarctica,Ross_Island,Basalt,Alkaline,3.28,0.04,Ar-Ar,-76.1706,168.3791,46.2,1.85,13.74,10.92,9.23,8.87,0.21,1.3,3.69,0.45,,,,,,152,288,,,,,,50,692,32,230,75,,,471,58,97,10.3,40,8,2.5,8,1,5.7,1,2.8,,,0.4,5.3,5.9,,2.4,9.8,1.7,0.70289,0.51296,19.66,15.584,39.117
Aviado_2015,04ANT1-8,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-76.1706,168.3791,44.26,2.17,13.66,10.68,9.57,7.53,0.26,0.24,5.36,0.88,,,,,,131,276,,,,,,86,1126,45,488,145,,,864,107,181,19,73,13.7,4.1,13,1.6,8.4,1.5,4,,,0.6,9.3,10.9,,4.6,18.4,4.8,,,,,
Aviado_2015,04ANT1-9,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3.38,0.04,Ar-Ar,-76.1706,168.3791,44.12,2.2,13.43,11.32,9.62,9.28,0.22,1.57,4.01,0.62,,,,,,157,293,,,,,,56,802,33,281,89,,,546,62,107,11.6,46,9,2.8,9,1.1,6.2,1.1,3,,,0.4,6,6.6,,2.7,9.8,2.2,,,,,
Aviado_2015,04ANT5A-19,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3.68,0.16,Ar-Ar,-76.1706,168.3791,43.62,2.13,13.31,10.47,9.56,7.57,0.26,1.95,5.34,0.88,,,,,,137,293,,,,,,79,1177,46,477,147,,,824,111,186,19.2,73,14,4.2,13,1.7,8.4,1.5,4,,,0.6,9.5,11.3,,4.7,18.8,3.9,,,,,
Aviado_2015,04DRE1-31,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,0.13,0.024,Ar-Ar,-76.3449,168.3856,41.49,2.68,12.85,13.04,10.72,6.72,0.27,1.89,4.92,1.3,,,,,,136,113,,,,,,47,1087,42,352,125,,,1031,101,168,18,71,13.9,4.1,13,1.6,8,1.4,3.7,,,0.5,7.4,9.2,,3,14,3.3,0.70344,0.513,19.486,15.582,38.981
Aviado_2015,04DRE1-32,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,0.12,0.026,Ar-Ar,-76.3449,168.3856,41.86,2.69,12.92,13.08,10.64,6.94,0.27,1.96,5.23,1.32,,,,,,145,134,,,,,,52,1228,43,346,133,,,898,107,177,19,75,14.4,4.2,13,1.6,8.2,1.4,3.7,,,0.5,7.7,9.7,,3.6,14.3,2.8,0.70292,0.51297,19.481,15.577,38.961
Aviado_2015,04DRE2-42,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,1,0.05,Ar-Ar,-76.7322,168.7641,46.6,2.81,16.89,9.2,8.31,3.77,0.21,2.61,4.65,0.84,,,,,,139,45,,,,,,62,1407,37,470,125,,,812,94,168,18.4,72,13,4,12,1.4,6.9,1.2,3.2,,,0.5,10.1,9.2,,3.6,11,2.8,0.70317,0.51288,19.67,15.606,39.144
Aviado_2015,04DRE3-56,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,0.19,0.176,Ar-Ar,-75.9754,168.2267,39.45,2.56,11.84,11.02,12.83,11.27,0.23,1.77,3.63,1.1,,,,,,204,342,,,,,,62,1018,35,264,104,,,870,89,152,17.5,71,13.8,4.1,12,1.5,7.9,1.4,3.6,,,0.5,6.9,9.3,,3.1,15.2,3.6,,,,,
