Data Number,Codes,Site Name,Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites,Year of Pub.,Reference,Comments,,
Atlantic Ocean,,POND114,22.974,-43.4625,-4156,0,4,5,44,,1.14,,,50,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND112,22.9742,-43.4977,-4380,0,2,4,36,,1.14,,,41,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND113,22.9752,-43.4672,-4149,0,6,7,59,,1.14,,,67,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND111,22.9755,-43.5002,-4410,0,6,7,104,,1.14,,,118,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND115,22.9765,-43.4597,-4160,0,4,5,43,,1.14,,,49,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND521,22.9777,-43.5332,-4340,0,3,4,136,,1.14,,,155,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND110,22.9783,-43.5017,-4410,0,5,7,53,,1.14,,,60,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND522,22.979,-43.5337,-4360,0,4,5,71,,1.14,,,81,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND523,22.9797,-43.5277,-4423,0,5,5,62,,1.14,,,70,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND107,22.9802,-43.5112,-4425,0,4,3,37,,1.14,,,43,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND102,22.9815,-43.5237,-4424,0,2,3,69,,1.14,,,78,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND103,22.9815,-43.5228,-4423,0,3,3,50,,1.14,,,57,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND104,22.9815,-43.5202,-4424,0,3,4,83,,1.14,,,94,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND101,22.9817,-43.5275,-4424,0,5,7,60,,1.14,,,68,1,1992,Langseth_etal1992,Nagihara_etal1996,,
Atlantic Ocean,,POND109,22.9817,-43.5052,-4425,0,3,4,44,,1.14,,,50,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND106,22.9818,-43.5148,-4425,0,3,4,53,,1.14,,,61,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND108,22.9818,-43.5077,-4425,0,3,4,41,,1.14,,,47,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,POND105,22.9842,-43.5163,-4425,0,2,3,70,,1.14,,,79,1,1992,Langseth_etal1992,Langseth_etal1992,,Ewing probe
Atlantic Ocean,,V23-59,24.1167,-17.4333,-1934,,10,,,5,1.05,,,,1,1970,Langseth_etal1970,Langseth_etal1970,*,Ewing probe
Atlantic Ocean,,C16-96,24.33,-58.7317,-6006,1,7,3,46,8,1.07,,,49,1,1980,Rabinowitz&Ludwig1980,Prol-Ledesma_etal1989,,
Atlantic Ocean,,C16-97,24.3517,-58.7217,-6120,4,13,4,50,9,1.11,,,56,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,V32,24.3583,-58.1417,-6034,,4,3,140,,0.72,,,100,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,C16-98,24.585,-58.76,-6001,2,5,2,68,9,1.08,,,73,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,V32,24.5967,-57.7833,-5610,,6,4,68,,0.77,,,52,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,C8,24.8833,-57.8667,-5672,,,,42,,0.9,,,38,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,V32,25.4817,-57.1783,-5300,,6,4,43,,0.75,,,33,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,C16-99,25.7833,-58.7717,-6249,0,7,3,74,9,1.01,,,75,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,V23-73,25.9667,-60.3167,-5874,0,9,3,50,3,0.98,,,49,1,1970,Langseth_etal1970,Langseth_etal1970,*,Ewing probe
Atlantic Ocean,,V32,25.9833,-58.2217,-6249,,6,3,57,,0.79,,,45,1,1980,Rabinowitz&Ludwig1980,Rabinowitz&Ludwig1980,,ocean
Atlantic Ocean,,ALVIN 2586-1,26.1372,-44.8077,-3539,,0,,639,,0.7,,,410,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2586-2,26.1412,-44.8077,-3483,,0,,2389,,0.8,,,1910,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2586-3,26.1418,-44.8078,-3459,,0,,12070,,0.8,,,9660,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2586-4,26.1427,-44.8077,-3466,,1,,2194,,0.7,,,1330,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2592-3,26.1433,-44.8058,-3468,,1,,2650,,0.7,,,1310,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2592-1,26.1437,-44.8108,-3584,,1,,730,,0.9,,,700,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2592-2,26.1438,-44.8098,-3520,,0,,249,,0.8,,,200,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2188-1,26.145,-44.8083,-3463,,1,,9921,,0.9,,,8930,1,1996,Rona_etal1996,Ritter_etal2004,*,DST
Atlantic Ocean,,ALVIN 2195-2,26.1467,-44.8083,-3483,,0,,14779,,0.9,,,13300,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2195-1,26.1467,-44.8083,-3484,,1,,11650,,0.9,,,10490,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2599-1,26.159,-44.8152,-3525,,1,,48,,0.9,,,40,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,ALVIN 2599-2,26.159,-44.8148,-3513,,1,,18,,0.8,,,10,1,1996,Rona_etal1996,Rona_etal1996,,ocean
Atlantic Ocean,,Shinkai 6500 437,26.5735,-44.2588,,,,,41,,1.04,,,42,1,2001,Tucholke_etal2001,Tucholke_etal2001,*,ocean
Atlantic Ocean,,Shinkai 6500 439,26.5812,-44.2875,,,,,242,,1.21,,,293,1,2001,Tucholke_etal2001,Tucholke_etal2001,*,ocean
Atlantic Ocean,,Shinkai 6500 440,26.5872,-44.3362,,,,,78,,1.28,,,100,1,2001,Tucholke_etal2001,Tucholke_etal2001,*,ocean
Atlantic Ocean,,Shinkai 6500 436,26.6132,-44.3533,,,,,133,,1.33,,,176,1,2001,Tucholke_etal2001,Taylor&Hayes1983,,ocean
Atlantic Ocean,,V23-74,27.4333,-61.3,-5770,3,12,3,29,5,0.92,,,27,1,1970,Langseth_etal1970,Langseth_etal1970,*,Ewing probe
Atlantic Ocean,,2598-1,28.1357,-44.8297,,,,,723,,0.97,,,723,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2598-6,28.1358,-44.8303,,,,,8538,,0.66,,,8538,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2598-2,28.1358,-44.8308,,,,,26855,,0.62,,,26855,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2598-3,28.1358,-44.8302,,,,,16202,,0.74,,,16202,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2598-4,28.1359,-44.8301,,,,,16540,,0.7,,,16540,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2598-7,28.1359,-44.83,,,,,4509,,0.69,,,4509,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2587-1,28.136,-44.8306,,,,,19,,0.71,,,19,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2596-3,28.136,-44.8297,,,,,43,,0.99,,,43,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2594-2,28.136,-44.8295,,,,,379,,0.75,,,379,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2600-1,28.1361,-44.8297,,,,,2809,,0.72,,,2809,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2594-3,28.1362,-44.8296,,,,,0,,,,,0,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2596-2,28.1362,-44.8299,,,,,7792,,0.82,,,7792,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2587-2,28.1362,-44.8306,,,,,27,,0.78,,,27,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2587-3,28.1364,-44.8307,,,,,10,,0.83,,,10,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2594-4,28.1365,-44.8302,,,,,62,,2.48,,,62,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2583-2,28.1366,-44.8309,,,,,13,,0.85,,,13,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2596-1,28.1366,-44.8302,,,,,12113,,0.76,,,12113,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2583-7,28.1367,-44.8302,,,,,1178,,1.28,,,1178,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2582-1,28.1367,-44.8308,,,,,15,,0.87,,,15,1,1996,Becker&VonHerzen1996,Barr_etal1979,,
Atlantic Ocean,,2593-2,28.1367,-44.8296,,,,,101,,0.77,,,101,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2593-3,28.1367,-44.8301,,,,,5877,,1.8,,,5877,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2587-4,28.1367,-44.8307,,,,,161,,0.71,,,161,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2593-1,28.1368,-44.8292,,,,,1065,,0.76,,,1065,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2588-2,28.1368,-44.8308,,,,,4,,0.74,,,4,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2583-4,28.1368,-44.8307,,,,,11220,,,,,11220,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2593-6,28.1368,-44.8302,,,,,37757,,1.25,,,37757,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2593-4,28.1368,-44.8302,,,,,1544,,1.9,,,1544,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2587-5,28.1369,-44.8305,,,,,89800,,0.96,,,89800,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2594-1,28.1369,-44.8304,,,,,6959,,0.72,,,6959,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2583-3,28.1369,-44.8308,,,,,4,,0.86,,,4,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2600-5,28.137,-44.8307,,,,,441,,1.04,,,441,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2582-5,28.137,-44.8289,,,,,382,,,,,382,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2590-1,28.137,-44.829,,,,,433,,0.84,,,433,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2582-4,28.137,-44.829,,,,,684,,0.85,,,684,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2583-6,28.137,-44.8303,,,,,100,,1.35,,,100,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2583-5,28.1371,-44.8303,,,,,228,,1.35,,,228,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2590-2,28.1371,-44.8292,,,,,620,,0.77,,,620,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2588-3,28.1371,-44.8313,,,,,969,,0.85,,,969,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2600-2,28.1371,-44.8315,,,,,886,,0.81,,,886,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2600-3,28.1372,-44.8313,,,,,672,,0.76,,,672,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2588-1,28.1372,-44.8301,,,,,10390,,1.35,,,10390,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2600-4,28.1372,-44.8311,,,,,23,,0.79,,,23,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2588-4,28.1372,-44.8315,,,,,2004,,0.74,,,2004,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2588-5,28.1374,-44.8314,,,,,4262,,0.74,,,4262,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,2582-2,28.1376,-44.8305,,,,,3259,,0.78,,,3259,1,1996,Becker&VonHerzen1996,Becker&VonHerzen1996,,ALVIN
Atlantic Ocean,,CD9B/34-1,31.1952,-25.4853,,,,,99,,0.84,,,76,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/34-2,31.2142,-25.4877,,,,,88,,0.84,,,74,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-6,31.2848,-25.4013,,,,,71,,0.84,,,60,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-12,31.2857,-25.3195,,,,,83,,0.84,,,70,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-11,31.2862,-25.472,,,,,62,,0.84,,,53,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-7,31.2873,-25.4158,,,,,70,,0.84,,,59,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-9,31.2875,-25.4387,,,,,68,,0.84,,,57,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-8,31.2878,-25.4233,,,,,71,,0.84,,,60,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-10,31.288,-25.4562,,,,,69,,0.84,,,58,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-5,31.289,-25.3788,,,,,69,,0.84,,,58,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-4,31.3005,-25.3608,,,,,68,,0.84,,,57,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-3,31.3108,-25.345,,,,,65,,0.84,,,55,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-2,31.3183,-25.3203,,,,,67,,0.84,,,57,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/12-1,31.3187,-25.314,,,,,72,,0.84,,,61,1,1988,Noel&Hounslow1988,Nissen_etal1995,*,ocean
Atlantic Ocean,,CD9B/30-1,31.3605,-24.8278,,,,,73,,0.84,,,62,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-2,31.365,-24.8333,,,,,65,,0.84,,,55,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-3,31.3703,-24.84,,,,,64,,0.84,,,54,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-4,31.378,-24.8468,,,,,74,,0.84,,,63,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-5,31.3897,-24.8525,,,,,81,,0.84,,,69,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-6,31.3983,-24.8565,,,,,69,,0.84,,,58,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10972-12,31.4031,-24.796,,,,,63,,0.83,,,53,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10972-11,31.4088,-24.8148,,,,,67,,0.83,,,56,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-7,31.4107,-24.8598,,,,,66,,0.84,,,56,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10972-10,31.4114,-24.822,,,,,77,,0.83,,,64,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,6-Mar,31.4175,-75.0848,-2996,,6,5,47,5,0.96,,,45,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,Disc144-T10972-9,31.4186,-24.8328,,,,,71,,0.83,,,59,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-8,31.4195,-24.8695,,,,,62,,0.84,,,52,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-9,31.4247,-24.8758,,,,,61,,0.84,,,51,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-10,31.4287,-24.8815,,,,,58,,0.84,,,48,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10972-7,31.4299,-24.8386,,,,,68,,0.83,,,57,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-11,31.4308,-24.8862,,,,,64,,0.84,,,54,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,5-Mar,31.4333,-75.0993,-2987,,6,6,48,6,0.97,,,47,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,CD9B/30-12,31.4333,-24.8917,,,,,72,,0.84,,,61,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10983-11,31.4345,-24.7984,,,,,66,,0.83,,,55,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-13,31.4352,-24.8965,,,,,83,,0.84,,,70,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-14,31.437,-24.902,,,,,80,,0.84,,,67,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10983-10,31.4374,-24.8029,,,,,68,,0.83,,,57,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10983-9,31.4397,-24.8058,,,,,68,,0.83,,,57,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-15,31.44,-24.9078,,,,,81,,0.84,,,68,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-16,31.4422,-24.9125,,,,,68,,0.84,,,57,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10983-8,31.4437,-24.8074,,,,,80,,0.83,,,66,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-17,31.4453,-24.9217,,,,,64,,0.84,,,54,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10983-7,31.4486,-24.8085,,,,,81,,0.83,,,67,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,4-Mar,31.4497,-75.1163,-2991,,6,4,50,5,0.97,,,49,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,CD9B/30-18,31.45,-24.9347,,,,,70,,0.84,,,59,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10983-6,31.4509,-24.809,,,,,83,,0.83,,,69,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10983-5,31.4544,-24.8103,,,,,78,,0.83,,,65,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-19,31.4547,-24.9435,,,,,73,,0.84,,,61,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,CD9B/30-20,31.4568,-24.9533,,,,,75,,0.84,,,63,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10983-4,31.4578,-24.8122,,,,,76,,0.83,,,63,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10972-5,31.4593,-24.8754,,,,,113,,0.83,,,94,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/30-21,31.4608,-24.9617,,,,,82,,0.84,,,69,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10983-3,31.4618,-24.8132,,,,,75,,0.83,,,63,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10972-4,31.4647,-24.9066,,,,,64,,0.83,,,53,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10983-2,31.465,-24.8151,,,,,72,,0.83,,,60,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10983-1,31.4679,-24.8175,,,,,69,,0.83,,,58,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,3-Mar,31.4685,-75.1338,-2990,,6,6,48,6,0.94,,,45,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,Disc144-T10972-3,31.469,-24.9104,,,,,68,,0.83,,,57,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,CD9B/27-1,31.4702,-24.8117,,,,,72,,0.84,,,61,1,1988,Noel&Hounslow1988,Noel&Hounslow1988,,ocean
Atlantic Ocean,,Disc144-T10972-2,31.484,-24.9135,,,,,78,,0.83,,,65,1,1985,Noel1985,Noel1985,,ocean
Atlantic Ocean,,Disc144-T10972-1,31.4941,-24.9178,,,,,80,,0.83,,,66,1,1985,Noel1985,Noel&Hounslow1988,,ocean
Atlantic Ocean,,1-Mar,31.4992,-75.1667,-3030,,7,6,50,6,0.94,,,47,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,2-Mar,31.4997,-75.1522,-2996,,7,6,43,7,0.97,,,42,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,20-Feb,31.7572,-75.5812,-2841,,4,7,53,7,1.01,,,53,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,19-Feb,31.7678,-75.5648,-2809,,4,7,46,7,1.07,,,50,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,18-Feb,31.7785,-75.5552,-2789,,4,7,47,7,1.04,,,49,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,17-Feb,31.795,-75.5395,-2783,,4,7,48,7,1,,,48,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,16-Feb,31.8013,-75.5248,-2790,,4,7,46,0,1.09,,,50,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,15-Feb,31.8152,-75.508,-2760,,4,6,47,7,1.18,,,55,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,14-Feb,31.825,-75.4947,-2760,,4,6,51,0,1.07,,,54,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,13-Feb,31.8362,-75.4783,-2767,,4,7,48,7,0.97,,,46,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,12-Feb,31.8452,-75.4663,-2765,,4,7,46,7,1.01,,,46,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,11-Feb,31.8552,-75.454,-2775,,4,7,43,7,1,,,43,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,10-Feb,31.8622,-75.4442,-2783,,4,7,40,7,1.03,,,41,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,9-Feb,31.8695,-75.4355,-2811,,4,7,46,0,1.03,,,47,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,8-Feb,31.8793,-75.427,-2842,,4,7,43,0,1.07,,,46,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,7-Feb,31.8832,-75.4152,-2880,,3,7,48,0,1.07,,,51,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,6-Feb,31.8902,-75.4065,-2915,,4,7,40,7,1.07,,,43,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,5-Feb,31.8975,-75.3962,-2950,,4,7,40,7,1.03,,,41,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,4-Feb,31.9072,-75.3852,-2995,,3,7,44,7,1.15,,,50,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,3-Feb,31.9163,-75.3662,-3049,,4,7,47,7,1.04,,,48,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,2-Feb,31.9323,-75.3398,-3130,,3,7,50,7,1.05,,,53,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
Atlantic Ocean,,1-Feb,31.9452,-75.3185,-3185,,4,6,68,5,1.06,,,72,1,1995,Ruppel_etal1995,Ruppel_etal1995,*,ocean
