-77.96 -43.115 3.361 9.756 0.033 0
-77 -43.005 3.469 11.642 0.038 0
-76.37 -42.933 3.636 12.683 0.056 0
-77.795 -44.894 2.536 0.608 0.050 0
-77 -44.733 2.881 2.527 0.044 0
-76.39 -44.61 3.148 4.016 0.053 0
-57.785 -46.438 6.267 99.766 0.210 0
-57.751 -46.786 6.158 101.848 0.194 0
-57.105 -46.971 6.080 113.276 0.160 0
-56.085 -46.996 6.382 124.806 0.119 0
100.39 -47.409 2.720 0.253 0.017 0
100.54 -47.483 2.666 0.298 0.015 0
-77.52 -47.598 3.743 11.511 0.068 0
-77.19 -47.564 3.825 11.045 0.065 0
-57.1 -47.523 5.868 120.667 0.175 0
101.072 -47.682 2.807 0.401 0.017 0
101.846 -47.863 2.815 0.197 0.011 0
127 -48.236 3.371 1.586 0.052 0
127.585 -48.309 4.011 4.225 0.037 0
109.225 -49.448 3.014 0.112 0.026 0
126.955 -48.763 3.916 0.152 0.038 0
151.965 -49.328 4.661 62.859 0.072 0
109.445 -49.516 3.128 0.097 0.021 0
109.865 -49.645 3.078 0.089 0.031 0
114.445 -49.845 3.955 0.003 0.043 0
114.975 -49.96 3.896 0.131 0.041 0
133.17 -50.045 3.267 0.773 0.004 0
133.65 -50.077 3.241 0.790 0.004 0
151.243 -50.123 4.664 57.236 0.076 0
151.745 -49.571 4.712 62.048 0.071 0
151.216 -51.786 4.260 43.446 0.068 0
151.84 -52.752 3.986 36.057 0.061 0
153.826 -53.957 4.267 29.981 0.063 0
153.918 -55.012 3.825 26.841 0.057 0
-57.845 -56.232 4.211 13.059 0.092 0
-57.28 -56.354 3.726 11.118 0.098 0
153.98 -55.725 3.776 24.745 0.060 0
-56.005 -56.631 4.003 11.035 0.127 0
-54.74 -59.902 4.221 26.665 0.081 0
92.715 -60.46 6.292 109.602 0.138 0
40.022 -61.466 5.790 108.644 0.075 0
89.4 -61.257 5.589 115.079 0.111 0
89.78 -61.32 5.555 115.260 0.114 0
91.166 -60.819 5.726 115.514 0.111 0
92.23 -61.299 5.880 116.741 0.124 0
92.732 -61.033 5.907 116.258 0.125 0
100.751 -61.073 5.773 50.925 0.102 0
117.47 -61.276 5.502 43.824 0.099 0
132.537 -61.094 5.812 43.683 0.102 0
-64.068 -61.883 3.777 12.098 0.059 0
61.66 -62.418 5.602 122.389 0.096 0
63.709 -62.33 5.507 121.843 0.097 0
65.585 -62.31 5.710 121.649 0.105 0
67.215 -62.261 5.638 122.350 0.103 0
68.71 -62.279 5.519 122.380 0.104 0
70.505 -62.06 5.544 121.745 0.116 0
72.111 -62.483 5.842 123.102 0.141 0
90.44 -61.917 5.555 117.614 0.118 0
91.03 -61.707 5.710 117.299 0.120 0
92 -61.687 5.845 117.843 0.124 0
92.88 -61.755 5.823 118.635 0.124 0
93.835 -62.297 5.833 120.937 0.145 0
97.338 -62.398 5.747 120.749 0.133 0
100.698 -61.871 5.935 85.981 0.115 0
140.06 -61.675 5.127 53.454 0.085 0
151.09 -62.269 3.796 18.779 0.063 0
-66.39 -63.486 3.844 13.328 0.079 0
28.464 -62.934 6.458 117.683 0.111 0
60.375 -63.486 5.528 125.380 0.088 0
62.055 -63.001 5.625 124.181 0.100 0
63.741 -63.007 5.594 124.137 0.107 0
65.535 -63 5.700 124.193 0.110 0
67.26 -63.004 5.682 124.434 0.111 0
68.725 -63.003 5.658 124.378 0.120 0
70.534 -62.992 5.622 124.328 0.123 0
72.139 -63.017 5.763 124.400 0.134 0
73.942 -63.434 5.750 125.373 0.136 0
75.768 -63.108 5.545 124.783 0.131 0
91.23 -62.861 5.674 121.106 0.131 0
91.53 -63.22 5.640 122.251 0.139 0
97.346 -62.554 5.661 127.230 0.133 0
-97.987 -64.092 5.272 76.014 0.068 0
-70.09 -64.415 4.142 19.933 0.086 0
-66.32 -63.524 3.807 13.268 0.078 0
-46.418 -63.92 4.808 16.192 0.075 0
60.425 -63.53 5.590 125.401 0.091 0
60.565 -63.654 5.671 127.907 0.094 0
62.45 -63.584 5.765 125.518 0.121 0
62.515 -63.68 5.787 127.275 0.131 0
63.769 -63.589 5.779 125.496 0.121 0
65.487 -63.676 5.767 125.633 0.130 0
67.303 -63.738 5.685 127.562 0.130 0
68.741 -63.703 5.503 126.903 0.138 0
70.553 -63.613 5.556 125.809 0.135 0
72.175 -63.725 5.661 128.113 0.139 0
75.735 -63.58 5.536 126.202 0.129 0
153.87 -64.33 4.314 18.169 0.085 0
-97.982 -64.857 5.370 77.611 0.067 0
-73.985 -65.1 4.242 25.094 0.070 0
-73.193 -64.985 4.285 24.219 0.073 0
-72 -65.166 4.282 21.901 0.079 0
-71.18 -65.408 4.306 19.978 0.089 0
25.5 -64.91 5.912 126.515 0.119 0
153.59 -64.546 4.082 24.178 0.075 0
-129.375 -66.399 4.818 60.411 0.063 0
-72.825 -66.281 4.531 21.023 0.095 0
-72.099 -65.947 4.139 20.033 0.093 0
-70.815 -65.515 4.297 18.954 0.094 0
25.58 -66.35 6.127 132.913 0.166 0
-4.955 -67.07 5.288 122.500 0.072 0
6.015 -67.011 5.415 139.118 0.106 0
6.035 -67.638 5.149 142.187 0.078 0
-40.965 -69.084 6.028 128.046 0.151 0
-40.475 -68.785 6.162 125.881 0.136 0
153 -43.91 5.510 72.593 0.223 1
153.995 -43.91 5.373 68.282 0.217 1
163.025 -44.007 5.322 72.874 0.212 1
128.43 -45.201 4.584 15.849 0.201 1
144.151 -45.171 4.977 35.947 0.205 1
149.47 -45.328 5.295 68.029 0.229 1
149.54 -45.261 5.217 68.773 0.227 1
151.485 -44.608 5.627 81.757 0.243 1
151.83 -44.761 5.570 77.677 0.232 1
163.39 -44.521 5.389 74.125 0.216 1
128.483 -45.644 4.452 14.537 0.201 1
128.972 -45.84 4.577 14.039 0.201 1
129.918 -46.036 4.497 13.701 0.201 1
135.268 -46 4.348 14.353 0.201 1
144.353 -45.945 4.804 35.952 0.204 1
144.586 -45.955 4.776 30.764 0.203 1
150.265 -46.433 5.612 71.755 0.236 1
150.645 -46.371 5.216 75.855 0.212 1
130.126 -46.999 4.293 10.688 0.201 1
135.304 -46.514 4.231 12.585 0.201 1
144.791 -46.786 4.611 28.170 0.205 1
130.235 -47.95 4.102 7.736 0.201 1
151.89 -47.823 5.357 76.939 0.22 1
154.149 -48.495 5.128 68.147 0.217 1
154.535 -48.486 5.076 65.635 0.215 1
-51.605 -48.716 6.569 123.565 0.213 1
-51.318 -48.914 6.713 127.004 0.22 1
-45.815 -49.107 6.195 118.673 0.209 1
-44.775 -49.071 5.982 114.648 0.205 1
-44.41 -49.365 5.989 123.701 0.204 1
147.295 -49.224 4.584 38.602 0.207 1
154.105 -48.735 4.924 63.742 0.209 1
154.744 -48.708 4.802 60.361 0.204 1
156.195 -49.241 5.271 49.837 0.212 1
162.28 -49.425 4.159 29.358 0.202 1
153.31 -49.838 5.216 51.715 0.216 1
154.029 -49.939 4.845 47.666 0.209 1
154.641 -49.806 5.076 47.090 0.21 1
156.475 -49.527 5.181 45.874 0.218 1
156.97 -50.031 4.951 40.227 0.213 1
158.325 -50.17 4.485 35.568 0.205 1
158.55 -50.449 4.332 33.122 0.206 1
160.46 -50.473 4.100 30.389 0.201 1
161 -50.162 4.319 30.485 0.204 1
161.825 -49.687 4.245 29.779 0.202 1
-39.69 -51.358 5.685 124.296 0.273 1
-39.325 -51.089 5.545 120.785 0.252 1
157.465 -50.536 5.030 37.189 0.219 1
157.93 -51.01 4.661 34.420 0.209 1
158.88 -50.858 4.027 32.643 0.202 1
160.015 -50.73 4.127 30.527 0.201 1
-40.82 -52.191 6.029 126.364 0.295 1
-40.195 -51.731 5.858 125.351 0.286 1
157.885 -54.485 4.744 25.814 0.208 1
158.17 -54.61 4.372 26.899 0.205 1
159.26 -55.075 5.321 27.232 0.205 1
159.8 -55.31 4.465 28.880 0.204 1
156.845 -56.5 3.963 21.268 0.205 1
