49.818 3.458 0.048 2.990 68.564
51.143 2.957 0.058 3.300 68.394
52.131 2.531 0.060 3.515 68.276
53.562 3.151 0.037 -39.500 61.757
52.538 3.361 0.034 -39.205 61.629
38.891 3.531 0.016 -34.014 62.117
32.456 3.049 0.007 -33.000 62.078
26.344 2.782 0.006 -31.998 62.058
20.089 2.476 0.005 -31.000 62.005
15.527 2.251 0.005 -30.000 61.938
10.956 1.866 0.003 -29.000 61.874
51.283 3.570 0.031 -38.705 61.410
49.302 3.814 0.031 -38.000 61.125
42.528 3.726 0.021 -37.010 60.786
37.720 3.471 0.012 -36.016 60.576
31.487 3.152 0.007 -35.000 60.534
25.739 2.953 0.005 -33.999 60.520
22.621 2.980 0.004 -33.470 60.502
5.769 1.201 0.073 -28.792 61.275
16.870 2.132 0.009 -23.597 61.491
19.895 2.431 0.015 -23.000 61.432
25.797 2.595 0.021 -22.001 61.339
31.788 2.828 0.019 -20.999 61.258
36.472 3.306 0.027 -19.967 61.130
44.396 3.320 0.023 -19.018 60.749
19.805 2.692 0.004 -32.969 60.474
15.201 2.528 0.003 -32.001 60.420
10.492 1.957 0.002 -31.000 60.371
5.058 1.639 0.002 -30.000 60.315
0.190 1.180 0.001 -29.002 60.252
5.285 1.671 0.003 -28.000 60.200
10.427 2.139 0.007 -26.999 60.140
15.737 2.526 0.008 -26.000 60.045
21.142 2.643 0.008 -25.000 59.954
28.031 2.750 0.012 -24.000 59.889
34.392 3.124 0.021 -23.000 59.829
47.741 3.228 0.018 -18.539 60.470
48.642 3.185 0.015 -18.215 60.220
29.271 4.678 0.131 -140.050 58.333
70.492 6.036 0.131 -175.005 56.509
29.211 4.633 0.128 -139.967 57.316
68.914 5.955 0.126 -176.715 55.622
69.551 5.930 0.123 -176.000 55.987
70.239 5.977 0.127 -175.260 56.375
69.449 6.082 0.134 -173.865 56.177
67.766 5.961 0.120 -172.290 55.647
21.129 4.382 0.081 168.390 56.393
68.516 5.641 0.117 -178.692 55.175
67.853 6.154 0.139 -177.955 54.962
68.461 6.032 0.130 -177.212 55.352
67.030 5.677 0.126 -176.500 54.667
15.832 3.767 0.125 -135.633 54.533
16.018 3.717 0.081 -135.100 54.642
42.061 3.834 0.083 -42.908 54.775
65.877 5.484 0.114 -176.067 53.900
16.752 3.358 0.104 -135.992 54.200
64.281 4.941 0.101 -175.950 52.642
51.960 7.322 0.043 -161.683 53.367
53.124 5.013 0.057 -157.100 53.233
25.005 4.009 0.053 -141.167 52.600
21.738 4.143 0.080 -138.750 53.133
62.846 5.424 0.111 177.442 53.392
50.275 4.737 0.066 -154.467 51.500
38.322 4.563 0.027 -148.367 50.733
33.282 4.281 0.032 -145.183 51.383
73.089 5.480 0.041 -169.800 47.933
69.672 5.716 0.022 -174.817 46.883
119.093 5.436 0.085 -9.850 46.892
34.440 4.578 0.047 -143.183 45.567
73.814 4.430 0.107 -15.350 46.142
36.270 4.596 0.053 -144.466 45.025
74.874 5.607 0.020 -163.783 44.300
32.331 4.613 0.030 -143.117 43.817
28.564 4.580 0.020 -140.633 43.967
22.773 4.103 0.047 -137.100 43.750
17.945 3.980 0.046 -134.450 43.000
65.168 5.019 0.058 -160.650 40.983
2.321 2.928 0.111 -128.409 40.900
69.385 5.620 0.095 -18.958 40.558
94.915 5.608 0.037 -172.983 39.700
21.850 4.645 0.025 -136.267 40.300
7.872 4.675 0.058 -128.183 40.067
197.891 6.806 0.222 -67.140 39.811
191.958 6.120 0.074 -65.270 40.238
152.181 6.638 0.052 -58.725 39.562
41.290 4.770 0.016 -136.167 38.900
33.457 4.748 0.047 -128.000 38.583
21.465 4.090 0.096 -124.917 39.150
