42.195 3.931 0.018 3.815 69.683
48.788 3.675 0.010 3.460 68.800
46.054 3.989 0.019 3.620 69.198
30.021 4.865 0.047 -140.583 58.059
40.399 5.689 0.023 -147.690 57.283
88.589 5.487 0.127 -51.635 54.387
81.790 5.464 0.104 -51.000 53.905
80.979 5.471 0.091 -50.485 53.514
80.104 5.538 0.090 -50.255 53.340
193.722 7.327 0.219 -57.165 43.595
18.330 4.077 0.001 -134.610 42.911
16.980 4.035 0.002 -134.000 42.978
14.753 3.833 0.002 -133.000 43.089
12.581 3.830 0.004 -132.005 43.159
10.286 3.791 0.005 -131.000 43.063
7.728 3.557 0.005 -130.000 42.951
5.204 3.567 0.006 -129.000 42.839
2.730 3.082 0.002 -128.000 42.722
0.231 2.780 0.001 -127.000 42.604
1.425 2.895 0.002 -126.310 42.523
191.015 7.404 0.222 -58.555 43.008
188.529 7.381 0.201 -58.223 42.971
187.811 7.167 0.189 -57.020 43.325
2.632 2.970 0.004 -125.805 42.463
3.449 3.504 0.010 -125.480 42.425
178.636 7.355 0.119 -59.000 41.853
170.568 7.113 0.134 -57.754 41.943
159.284 7.249 0.119 -56.960 41.540
154.385 7.348 0.112 -56.327 41.593
124.027 5.672 0.036 -46.725 42.040
120.073 5.975 0.046 -46.285 41.857
90.000 7.046 0.357 30.445 42.277
90.000 7.185 0.370 30.720 42.402
161.773 7.217 0.095 -57.914 41.080
154.109 7.286 0.097 -57.122 40.968
151.137 7.164 0.094 -55.765 41.236
147.788 7.026 0.077 -55.245 40.736
152.414 6.811 0.061 -58.605 39.695
153.159 7.216 0.086 -58.100 40.140
150.138 7.190 0.082 -56.725 40.356
145.384 6.942 0.065 -56.000 39.879
142.031 6.754 0.057 -54.839 40.169
132.498 6.735 0.054 -54.230 39.761
131.300 6.650 0.047 -54.918 39.187
124.540 6.267 0.031 -53.997 39.028
120.237 5.883 0.016 -53.450 38.986
185.074 6.277 0.075 -11.305 33.533
149.321 5.288 0.030 -14.575 33.223
153.918 5.797 0.049 -13.926 33.074
150.573 5.524 0.035 -14.800 32.339
156.434 5.573 0.042 -14.029 32.189
148.664 5.411 0.043 -15.995 30.791
153.684 5.151 0.051 -14.993 30.800
162.882 4.808 0.063 -14.132 30.901
160.492 5.363 0.074 -15.665 29.704
158.310 4.917 0.059 -15.245 30.206
167.195 5.781 0.094 -15.883 28.969
178.268 6.154 0.122 -15.290 28.589
164.242 5.497 0.075 -17.060 27.624
171.274 5.736 0.095 -16.480 27.506
166.683 5.088 0.050 -17.660 26.747
168.126 5.555 0.078 -16.992 27.123
175.340 5.963 0.113 -16.303 27.170
98.076 6.160 0.006 -61.650 26.459
166.632 4.912 0.046 -18.000 26.251
2.473 2.023 0.001 37.745 22.435
105.466 5.956 0.015 -65.508 21.390
3.555 1.742 0.030 38.590 20.523
0.980 1.710 0.021 38.287 20.204
0.117 2.016 0.020 38.673 19.770
6.078 2.189 0.100 38.455 19.314
3.955 2.078 0.073 38.560 19.435
29.634 5.117 0.041 118.110 18.534
36.572 5.257 0.022 123.190 18.622
35.047 5.916 0.019 123.610 18.792
29.273 5.034 0.036 117.765 18.430
43.073 5.383 0.037 122.845 18.483
45.434 5.883 0.001 133.075 17.802
46.145 5.784 0.002 133.775 17.822
25.996 4.694 0.001 136.445 18.000
24.439 4.840 0.001 137.000 17.998
21.702 4.917 0.001 138.000 17.994
18.807 4.920 0.001 138.770 17.991
22.931 4.814 0.002 140.075 17.982
25.721 5.113 0.010 141.000 17.985
26.712 5.314 0.018 141.695 17.987
6.266 4.197 0.002 144.045 18.003
0.580 3.621 0.002 144.790 18.152
176.723 5.925 0.005 158.425 17.729
177.371 5.888 0.004 158.625 17.585
174.834 5.906 0.004 157.110 17.298
178.978 5.867 0.005 159.120 17.229
180.586 5.909 0.005 159.560 16.913
196.033 5.489 0.036 -65.620 15.650
188.061 4.822 0.019 -74.991 14.662
188.014 5.099 0.026 -74.500 14.754
187.231 5.099 0.034 -76.650 13.784
187.843 4.348 0.013 -76.460 14.166
187.524 4.653 0.015 -74.615 14.454
186.805 4.843 0.026 -74.000 14.205
185.646 5.610 0.055 -73.015 13.806
85.176 6.941 0.061 -57.525 14.332
84.879 7.188 0.073 -57.480 14.365
20.967 4.625 0.008 113.795 13.826
17.924 4.558 0.005 114.755 13.734
186.062 5.624 0.063 -77.030 13.020
19.326 4.912 0.016 113.085 12.660
15.641 4.600 0.007 114.240 12.999
19.369 4.844 0.012 115.140 12.784
176.964 6.125 0.004 155.170 12.923
179.687 6.249 0.006 156.000 13.163
180.817 6.327 0.007 156.530 13.317
0.126 3.042 0.001 -103.865 12.040
1.624 3.120 0.001 -103.000 12.155
2.827 3.205 0.001 -102.400 12.235
93.941 7.051 0.127 -56.960 11.955
90.333 7.000 0.119 -56.400 12.025
15.544 4.716 0.011 113.350 12.299
18.162 4.749 0.011 113.630 11.918
22.693 4.806 0.011 114.929 12.275
107.334 7.100 0.217 -57.925 10.516
102.000 6.729 0.145 -56.920 10.554
95.675 6.708 0.120 -56.028 10.844
90.692 6.458 0.082 -55.195 10.950
181.801 5.948 0.004 155.165 11.253
182.480 5.860 0.003 155.530 11.158
108.650 7.063 0.233 -57.809 10.108
105.770 6.987 0.198 -57.000 9.955
108.688 6.666 0.200 -56.797 9.227
